batch_axis_names: 'data'
evalers['eval_dev_clean'].input.processor.vocab_cfg.klass: 'seqio.vocabularies.SentencePieceVocabulary'
evalers['eval_dev_clean'].input.processor.vocab_cfg.reverse_extra_ids: True
evalers['eval_dev_clean'].input.processor.vocab_cfg.sentencepiece_model_file: '$DATA_DIR/tokenizers/sentencepiece/librispeech_bpe_1024.model'
evalers['eval_dev_clean'].input.source.dataset_name: 'librispeech:2.1.0'
evalers['eval_dev_clean'].input.source.download: False
evalers['eval_dev_clean'].input.source.fn: 'axlearn.common.input_tf_data.tfds_dataset'
evalers['eval_dev_clean'].input.source.split: 'dev_clean'
evalers['eval_dev_clean'].input.source.train_shuffle_buffer_size: 0
evalers['eval_dev_clean'].klass: 'axlearn.common.evaler.SpmdEvaler'
evalers['eval_dev_clean'].metric_calculator.klass: 'axlearn.common.evaler.ModelSummaryAccumulator'
evalers['eval_dev_clean'].metric_calculator.metric_accumulator.klass: 'axlearn.common.metrics.MetricAccumulator'
evalers['eval_dev_clean'].metric_calculator.model_method: 'forward'
evalers['eval_dev_clean'].summary_writer.klass: 'axlearn.common.summary_writer.SummaryWriter'
evalers['eval_dev_clean'].summary_writer.write_every_n_steps: 1
evalers['eval_dev_other'].eval_dtype: 'jax.numpy.float32'
evalers['eval_dev_other'].eval_policy.fn: 'axlearn.common.evaler.every_n_steps_policy'
evalers['eval_dev_other'].eval_policy.min_step: 1
evalers['eval_dev_other'].eval_policy.n: 1000
evalers['eval_dev_other'].input.batcher.fn: 'axlearn.common.input_tf_data.batch'
evalers['eval_dev_other'].input.batcher.global_batch_size: 512
evalers['eval_dev_other'].input.batcher.pad_example_fn: 'axlearn.audio.input_asr.pad_example_fn'
evalers['eval_dev_other'].input.klass: 'axlearn.common.input_tf_data.Input'
evalers['eval_dev_other'].input.processor.eos_id: 2
evalers['eval_dev_other'].input.processor.fn: 'axlearn.experiments.audio.conformer.common.asr_input'
evalers['eval_dev_other'].input.processor.max_source_len: 576000
evalers['eval_dev_other'].input.processor.max_target_len: 200
evalers['eval_dev_other'].input.processor.vocab_cfg.extra_ids: 0
evalers['eval_dev_other'].input.processor.vocab_cfg.klass: 'seqio.vocabularies.SentencePieceVocabulary'
evalers['eval_dev_other'].input.processor.vocab_cfg.reverse_extra_ids: True
evalers['eval_dev_other'].input.processor.vocab_cfg.sentencepiece_model_file: '$DATA_DIR/tokenizers/sentencepiece/librispeech_bpe_1024.model'
evalers['eval_dev_other'].input.source.dataset_name: 'librispeech:2.1.0'
evalers['eval_dev_other'].input.source.download: False
evalers['eval_dev_other'].input.source.fn: 'axlearn.common.input_tf_data.tfds_dataset'
evalers['eval_dev_other'].input.source.split: 'dev_other'
evalers['eval_dev_other'].input.source.train_shuffle_buffer_size: 0
evalers['eval_dev_other'].klass: 'axlearn.common.evaler.SpmdEvaler'
evalers['eval_dev_other'].metric_calculator.klass: 'axlearn.common.evaler.ModelSummaryAccumulator'
evalers['eval_dev_other'].metric_calculator.metric_accumulator.klass: 'axlearn.common.metrics.MetricAccumulator'
evalers['eval_dev_other'].metric_calculator.model_method: 'forward'
evalers['eval_dev_other'].summary_writer.klass: 'axlearn.common.summary_writer.SummaryWriter'
evalers['eval_dev_other'].summary_writer.write_every_n_steps: 1
evalers['decoder_dev_clean'].eval_dtype: 'jax.numpy.float32'
evalers['decoder_dev_clean'].eval_policy.fn: 'axlearn.common.evaler.every_n_steps_policy'
evalers['decoder_dev_clean'].eval_policy.min_step: 1
evalers['decoder_dev_clean'].eval_policy.n: 1000
evalers['decoder_dev_clean'].input.batcher.fn: 'axlearn.common.input_tf_data.batch'
evalers['decoder_dev_clean'].input.batcher.global_batch_size: 512
evalers['decoder_dev_clean'].input.batcher.pad_example_fn: 'axlearn.audio.input_asr.pad_example_fn'
evalers['decoder_dev_clean'].input.klass: 'axlearn.common.input_tf_data.Input'
evalers['decoder_dev_clean'].input.processor.eos_id: 2
evalers['decoder_dev_clean'].input.processor.fn: 'axlearn.experiments.audio.conformer.common.asr_input'
evalers['decoder_dev_clean'].input.processor.max_source_len: 576000
evalers['decoder_dev_clean'].input.processor.max_target_len: 200
evalers['decoder_dev_clean'].input.processor.vocab_cfg.extra_ids: 0
evalers['decoder_dev_clean'].input.processor.vocab_cfg.klass: 'seqio.vocabularies.SentencePieceVocabulary'
evalers['decoder_dev_clean'].input.processor.vocab_cfg.reverse_extra_ids: True
evalers['decoder_dev_clean'].input.processor.vocab_cfg.sentencepiece_model_file: '$DATA_DIR/tokenizers/sentencepiece/librispeech_bpe_1024.model'
evalers['decoder_dev_clean'].input.source.dataset_name: 'librispeech:2.1.0'
evalers['decoder_dev_clean'].input.source.download: False
evalers['decoder_dev_clean'].input.source.fn: 'axlearn.common.input_tf_data.tfds_dataset'
evalers['decoder_dev_clean'].input.source.split: 'dev_clean'
evalers['decoder_dev_clean'].input.source.train_shuffle_buffer_size: 0
evalers['decoder_dev_clean'].klass: 'axlearn.common.evaler.SpmdEvaler'
evalers['decoder_dev_clean'].metric_calculator.klass: 'axlearn.audio.evaler_asr.WordErrorRateMetricCalculator'
evalers['decoder_dev_clean'].metric_calculator.metric_accumulator.klass: 'axlearn.common.metrics.MetricAccumulator'
evalers['decoder_dev_clean'].metric_calculator.model_method: 'beam_search_decode'
evalers['decoder_dev_clean'].metric_calculator.model_method_kwargs['num_decodes']: 8
evalers['decoder_dev_clean'].metric_calculator.model_method_kwargs['max_decode_len']: 1000
evalers['decoder_dev_clean'].metric_calculator.scorer.fn: 'axlearn.audio.evaler_asr.<lambda>'
evalers['decoder_dev_clean'].metric_calculator.text_normalizer.fn: 'axlearn.audio.evaler_asr.normalize_text'
evalers['decoder_dev_clean'].metric_calculator.vocab.extra_ids: 0
evalers['decoder_dev_clean'].metric_calculator.vocab.klass: 'seqio.vocabularies.SentencePieceVocabulary'
evalers['decoder_dev_clean'].metric_calculator.vocab.reverse_extra_ids: True
evalers['decoder_dev_clean'].metric_calculator.vocab.sentencepiece_model_file: '$DATA_DIR/tokenizers/sentencepiece/librispeech_bpe_1024.model'
evalers['decoder_dev_clean'].summary_writer.klass: 'axlearn.common.summary_writer.SummaryWriter'
evalers['decoder_dev_clean'].summary_writer.write_every_n_steps: 1
evalers['decoder_dev_other'].eval_dtype: 'jax.numpy.float32'
evalers['decoder_dev_other'].eval_policy.fn: 'axlearn.common.evaler.every_n_steps_policy'
evalers['decoder_dev_other'].eval_policy.min_step: 1
evalers['decoder_dev_other'].eval_policy.n: 1000
evalers['decoder_dev_other'].input.batcher.fn: 'axlearn.common.input_tf_data.batch'
evalers['decoder_dev_other'].input.batcher.global_batch_size: 512
evalers['decoder_dev_other'].input.batcher.pad_example_fn: 'axlearn.audio.input_asr.pad_example_fn'
evalers['decoder_dev_other'].input.klass: 'axlearn.common.input_tf_data.Input'
evalers['decoder_dev_other'].input.processor.eos_id: 2
evalers['decoder_dev_other'].input.processor.fn: 'axlearn.experiments.audio.conformer.common.asr_input'
evalers['decoder_dev_other'].input.processor.max_source_len: 576000
evalers['decoder_dev_other'].input.processor.max_target_len: 200
evalers['decoder_dev_other'].input.processor.vocab_cfg.extra_ids: 0
evalers['decoder_dev_other'].input.processor.vocab_cfg.klass: 'seqio.vocabularies.SentencePieceVocabulary'
evalers['decoder_dev_other'].input.processor.vocab_cfg.reverse_extra_ids: True
evalers['decoder_dev_other'].input.processor.vocab_cfg.sentencepiece_model_file: '$DATA_DIR/tokenizers/sentencepiece/librispeech_bpe_1024.model'
evalers['decoder_dev_other'].input.source.dataset_name: 'librispeech:2.1.0'
evalers['decoder_dev_other'].input.source.download: False
evalers['decoder_dev_other'].input.source.fn: 'axlearn.common.input_tf_data.tfds_dataset'
evalers['decoder_dev_other'].input.source.split: 'dev_other'
evalers['decoder_dev_other'].input.source.train_shuffle_buffer_size: 0
evalers['decoder_dev_other'].klass: 'axlearn.common.evaler.SpmdEvaler'
evalers['decoder_dev_other'].metric_calculator.klass: 'axlearn.audio.evaler_asr.WordErrorRateMetricCalculator'
evalers['decoder_dev_other'].metric_calculator.metric_accumulator.klass: 'axlearn.common.metrics.MetricAccumulator'
evalers['decoder_dev_other'].metric_calculator.model_method: 'beam_search_decode'
evalers['decoder_dev_other'].metric_calculator.model_method_kwargs['num_decodes']: 8
evalers['decoder_dev_other'].metric_calculator.model_method_kwargs['max_decode_len']: 1000
evalers['decoder_dev_other'].metric_calculator.scorer.fn: 'axlearn.audio.evaler_asr.<lambda>'
evalers['decoder_dev_other'].metric_calculator.text_normalizer.fn: 'axlearn.audio.evaler_asr.normalize_text'
evalers['decoder_dev_other'].metric_calculator.vocab.extra_ids: 0
evalers['decoder_dev_other'].metric_calculator.vocab.klass: 'seqio.vocabularies.SentencePieceVocabulary'
evalers['decoder_dev_other'].metric_calculator.vocab.reverse_extra_ids: True
evalers['decoder_dev_other'].metric_calculator.vocab.sentencepiece_model_file: '$DATA_DIR/tokenizers/sentencepiece/librispeech_bpe_1024.model'
evalers['decoder_dev_other'].summary_writer.klass: 'axlearn.common.summary_writer.SummaryWriter'
evalers['decoder_dev_other'].summary_writer.write_every_n_steps: 1
evalers['decoder_test_clean'].eval_dtype: 'jax.numpy.float32'
evalers['decoder_test_clean'].eval_policy.fn: 'axlearn.common.evaler.every_n_steps_policy'
evalers['decoder_test_clean'].eval_policy.min_step: 1
evalers['decoder_test_clean'].eval_policy.n: 1000
evalers['decoder_test_clean'].input.batcher.fn: 'axlearn.common.input_tf_data.batch'
evalers['decoder_test_clean'].input.batcher.global_batch_size: 512
evalers['decoder_test_clean'].input.batcher.pad_example_fn: 'axlearn.audio.input_asr.pad_example_fn'
evalers['decoder_test_clean'].input.klass: 'axlearn.common.input_tf_data.Input'
evalers['decoder_test_clean'].input.processor.eos_id: 2
evalers['decoder_test_clean'].input.processor.fn: 'axlearn.experiments.audio.conformer.common.asr_input'
evalers['decoder_test_clean'].input.processor.max_source_len: 576000
evalers['decoder_test_clean'].input.processor.max_target_len: 200
evalers['decoder_test_clean'].input.processor.vocab_cfg.extra_ids: 0
evalers['decoder_test_clean'].input.processor.vocab_cfg.klass: 'seqio.vocabularies.SentencePieceVocabulary'
evalers['decoder_test_clean'].input.processor.vocab_cfg.reverse_extra_ids: True
evalers['decoder_test_clean'].input.processor.vocab_cfg.sentencepiece_model_file: '$DATA_DIR/tokenizers/sentencepiece/librispeech_bpe_1024.model'
evalers['decoder_test_clean'].input.source.dataset_name: 'librispeech:2.1.0'
evalers['decoder_test_clean'].input.source.download: False
evalers['decoder_test_clean'].input.source.fn: 'axlearn.common.input_tf_data.tfds_dataset'
evalers['decoder_test_clean'].input.source.split: 'test_clean'
evalers['decoder_test_clean'].input.source.train_shuffle_buffer_size: 0
evalers['decoder_test_clean'].klass: 'axlearn.common.evaler.SpmdEvaler'
evalers['decoder_test_clean'].metric_calculator.klass: 'axlearn.audio.evaler_asr.WordErrorRateMetricCalculator'
evalers['decoder_test_clean'].metric_calculator.metric_accumulator.klass: 'axlearn.common.metrics.MetricAccumulator'
evalers['decoder_test_clean'].metric_calculator.model_method: 'beam_search_decode'
evalers['decoder_test_clean'].metric_calculator.model_method_kwargs['num_decodes']: 8
evalers['decoder_test_clean'].metric_calculator.model_method_kwargs['max_decode_len']: 1000
evalers['decoder_test_clean'].metric_calculator.scorer.fn: 'axlearn.audio.evaler_asr.<lambda>'
evalers['decoder_test_clean'].metric_calculator.text_normalizer.fn: 'axlearn.audio.evaler_asr.normalize_text'
evalers['decoder_test_clean'].metric_calculator.vocab.extra_ids: 0
evalers['decoder_test_clean'].metric_calculator.vocab.klass: 'seqio.vocabularies.SentencePieceVocabulary'
evalers['decoder_test_clean'].metric_calculator.vocab.reverse_extra_ids: True
evalers['decoder_test_clean'].metric_calculator.vocab.sentencepiece_model_file: '$DATA_DIR/tokenizers/sentencepiece/librispeech_bpe_1024.model'
evalers['decoder_test_clean'].summary_writer.klass: 'axlearn.common.summary_writer.SummaryWriter'
evalers['decoder_test_clean'].summary_writer.write_every_n_steps: 1
evalers['decoder_test_other'].eval_dtype: 'jax.numpy.float32'
evalers['decoder_test_other'].eval_policy.fn: 'axlearn.common.evaler.every_n_steps_policy'
evalers['decoder_test_other'].eval_policy.min_step: 1
evalers['decoder_test_other'].eval_policy.n: 1000
evalers['decoder_test_other'].input.batcher.fn: 'axlearn.common.input_tf_data.batch'
evalers['decoder_test_other'].input.batcher.global_batch_size: 512
evalers['decoder_test_other'].input.batcher.pad_example_fn: 'axlearn.audio.input_asr.pad_example_fn'
evalers['decoder_test_other'].input.klass: 'axlearn.common.input_tf_data.Input'
evalers['decoder_test_other'].input.processor.eos_id: 2
evalers['decoder_test_other'].input.processor.fn: 'axlearn.experiments.audio.conformer.common.asr_input'
evalers['decoder_test_other'].input.processor.max_source_len: 576000
evalers['decoder_test_other'].input.processor.max_target_len: 200
evalers['decoder_test_other'].input.processor.vocab_cfg.extra_ids: 0
evalers['decoder_test_other'].input.processor.vocab_cfg.klass: 'seqio.vocabularies.SentencePieceVocabulary'
evalers['decoder_test_other'].input.processor.vocab_cfg.reverse_extra_ids: True
evalers['decoder_test_other'].input.processor.vocab_cfg.sentencepiece_model_file: '$DATA_DIR/tokenizers/sentencepiece/librispeech_bpe_1024.model'
evalers['decoder_test_other'].input.source.dataset_name: 'librispeech:2.1.0'
evalers['decoder_test_other'].input.source.download: False
evalers['decoder_test_other'].input.source.fn: 'axlearn.common.input_tf_data.tfds_dataset'
evalers['decoder_test_other'].input.source.split: 'test_other'
evalers['decoder_test_other'].input.source.train_shuffle_buffer_size: 0
evalers['decoder_test_other'].klass: 'axlearn.common.evaler.SpmdEvaler'
evalers['decoder_test_other'].metric_calculator.klass: 'axlearn.audio.evaler_asr.WordErrorRateMetricCalculator'
evalers['decoder_test_other'].metric_calculator.metric_accumulator.klass: 'axlearn.common.metrics.MetricAccumulator'
evalers['decoder_test_other'].metric_calculator.model_method: 'beam_search_decode'
evalers['decoder_test_other'].metric_calculator.model_method_kwargs['num_decodes']: 8
evalers['decoder_test_other'].metric_calculator.model_method_kwargs['max_decode_len']: 1000
evalers['decoder_test_other'].metric_calculator.scorer.fn: 'axlearn.audio.evaler_asr.<lambda>'
evalers['decoder_test_other'].metric_calculator.text_normalizer.fn: 'axlearn.audio.evaler_asr.normalize_text'
evalers['decoder_test_other'].metric_calculator.vocab.extra_ids: 0
evalers['decoder_test_other'].metric_calculator.vocab.klass: 'seqio.vocabularies.SentencePieceVocabulary'
evalers['decoder_test_other'].metric_calculator.vocab.reverse_extra_ids: True
evalers['decoder_test_other'].metric_calculator.vocab.sentencepiece_model_file: '$DATA_DIR/tokenizers/sentencepiece/librispeech_bpe_1024.model'
evalers['decoder_test_other'].summary_writer.klass: 'axlearn.common.summary_writer.SummaryWriter'
evalers['decoder_test_other'].summary_writer.write_every_n_steps: 1
evalers['decoder_train'].eval_dtype: 'jax.numpy.float32'
evalers['decoder_train'].eval_policy.fn: 'axlearn.common.evaler.every_n_steps_policy'
evalers['decoder_train'].eval_policy.min_step: 1
evalers['decoder_train'].eval_policy.n: 1000
evalers['decoder_train'].input.batcher.fn: 'axlearn.common.input_tf_data.batch'
evalers['decoder_train'].input.batcher.global_batch_size: 512
evalers['decoder_train'].input.batcher.pad_example_fn: 'axlearn.audio.input_asr.pad_example_fn'
evalers['decoder_train'].input.klass: 'axlearn.common.input_tf_data.Input'
evalers['decoder_train'].input.processor.eos_id: 2
evalers['decoder_train'].input.processor.fn: 'axlearn.experiments.audio.conformer.common.asr_input'
evalers['decoder_train'].input.processor.max_source_len: 576000
evalers['decoder_train'].input.processor.max_target_len: 200
evalers['decoder_train'].input.processor.vocab_cfg.extra_ids: 0
evalers['decoder_train'].input.processor.vocab_cfg.klass: 'seqio.vocabularies.SentencePieceVocabulary'
evalers['decoder_train'].input.processor.vocab_cfg.reverse_extra_ids: True
evalers['decoder_train'].input.processor.vocab_cfg.sentencepiece_model_file: '$DATA_DIR/tokenizers/sentencepiece/librispeech_bpe_1024.model'
evalers['decoder_train'].input.source.dataset_name: 'librispeech:2.1.0'
evalers['decoder_train'].input.source.download: False
evalers['decoder_train'].input.source.fn: 'axlearn.common.input_tf_data.tfds_dataset'
evalers['decoder_train'].input.source.split: 'train_clean100[:512]+train_clean360[:512]+train_other500[:512]'
evalers['decoder_train'].input.source.train_shuffle_buffer_size: 0
evalers['decoder_train'].klass: 'axlearn.common.evaler.SpmdEvaler'
evalers['decoder_train'].metric_calculator.klass: 'axlearn.audio.evaler_asr.WordErrorRateMetricCalculator'
evalers['decoder_train'].metric_calculator.metric_accumulator.klass: 'axlearn.common.metrics.MetricAccumulator'
evalers['decoder_train'].metric_calculator.model_method: 'beam_search_decode'
evalers['decoder_train'].metric_calculator.model_method_kwargs['num_decodes']: 8
evalers['decoder_train'].metric_calculator.model_method_kwargs['max_decode_len']: 1000
evalers['decoder_train'].metric_calculator.scorer.fn: 'axlearn.audio.evaler_asr.<lambda>'
evalers['decoder_train'].metric_calculator.text_normalizer.fn: 'axlearn.audio.evaler_asr.normalize_text'
evalers['decoder_train'].metric_calculator.vocab.extra_ids: 0
evalers['decoder_train'].metric_calculator.vocab.klass: 'seqio.vocabularies.SentencePieceVocabulary'
evalers['decoder_train'].metric_calculator.vocab.reverse_extra_ids: True
evalers['decoder_train'].metric_calculator.vocab.sentencepiece_model_file: '$DATA_DIR/tokenizers/sentencepiece/librispeech_bpe_1024.model'
evalers['decoder_train'].summary_writer.klass: 'axlearn.common.summary_writer.SummaryWriter'
evalers['decoder_train'].summary_writer.write_every_n_steps: 1
input.batcher.fn: 'axlearn.common.input_tf_data.batch'
input.batcher.global_batch_size: 2048
input.batcher.pad_example_fn: 'axlearn.audio.input_asr.pad_example_fn'
input.klass: 'axlearn.common.input_tf_data.Input'
input.processor.eos_id: 2
input.processor.fn: 'axlearn.experiments.audio.conformer.common.asr_input'
input.processor.max_source_len: 480000
input.processor.max_target_len: 200
input.processor.vocab_cfg.extra_ids: 0
input.processor.vocab_cfg.klass: 'seqio.vocabularies.SentencePieceVocabulary'
input.processor.vocab_cfg.reverse_extra_ids: True
input.processor.vocab_cfg.sentencepiece_model_file: '$DATA_DIR/tokenizers/sentencepiece/librispeech_bpe_1024.model'
input.source.dataset_name: 'librispeech:2.1.0'
input.source.download: False
input.source.fn: 'axlearn.common.input_tf_data.tfds_dataset'
input.source.split: 'train_clean100+train_clean360+train_other500'
input.source.train_shuffle_buffer_size: 16384
klass: 'axlearn.common.trainer.SpmdTrainer'
learner.ema.decay: 0.9999
learner.ema.fn: 'axlearn.common.optimizers.param_ema'
learner.enable_per_variable_summaries: False
learner.klass: 'axlearn.common.learner.Learner'
learner.optimizer.args[0].eps: 1e-08
learner.optimizer.args[0].fn: 'axlearn.common.optimizers.clip_by_global_norm'
learner.optimizer.args[0].max_norm: 1.0
learner.optimizer.args[1].b1: 0.9
learner.optimizer.args[1].b2: 0.98
learner.optimizer.args[1].eps: 1e-09
learner.optimizer.args[1].fn: 'axlearn.common.optimizers.adam_optimizer'
learner.optimizer.args[1].l2_regularizer_per_param_scale.default_scale: 1.0
learner.optimizer.args[1].l2_regularizer_per_param_scale.description: 'l2_regularizer_scale'
learner.optimizer.args[1].l2_regularizer_per_param_scale.fn: 'axlearn.common.optimizers.per_param_scale_by_path'
learner.optimizer.args[1].l2_regularizer_per_param_scale.scale_by_path[0][0]: '.*norm/.*'
learner.optimizer.args[1].l2_regularizer_per_param_scale.scale_by_path[0][1]: 0
learner.optimizer.args[1].l2_regularizer_per_param_scale.scale_by_path[1][0]: '(.*/)?bias'
learner.optimizer.args[1].l2_regularizer_per_param_scale.scale_by_path[1][1]: 0
learner.optimizer.args[1].l2_regularizer_per_param_scale.scale_by_path[2][0]: '(.*/)?scale'
learner.optimizer.args[1].l2_regularizer_per_param_scale.scale_by_path[2][1]: 0
learner.optimizer.args[1].l2_regularizer_per_param_scale.scale_by_path[3][0]: '(.*/)?per_dim_scale/param'
learner.optimizer.args[1].l2_regularizer_per_param_scale.scale_by_path[3][1]: 0
learner.optimizer.args[1].l2_regularizer_per_param_scale.scale_by_path[4][0]: '(.*/)?moving_mean'
learner.optimizer.args[1].l2_regularizer_per_param_scale.scale_by_path[4][1]: 0
learner.optimizer.args[1].l2_regularizer_per_param_scale.scale_by_path[5][0]: '(.*/)?moving_variance'
learner.optimizer.args[1].l2_regularizer_per_param_scale.scale_by_path[5][1]: 0
learner.optimizer.args[1].l2_regularizer_weight: 1e-06
learner.optimizer.args[1].learning_rate.decay_power: -0.5
learner.optimizer.args[1].learning_rate.fn: 'axlearn.common.schedule.adafactor'
learner.optimizer.args[1].learning_rate.scale: 0.22097
learner.optimizer.args[1].learning_rate.step_offset: 1
learner.optimizer.args[1].learning_rate.warmup_steps: 10000
learner.optimizer.fn: 'axlearn.common.optimizers.chain'
max_step: 500000
model.decoder.am_proj.bias: True
model.decoder.am_proj.klass: 'axlearn.common.layers.Linear'
model.decoder.am_proj.param_partition_spec[0]: None
model.decoder.am_proj.param_partition_spec[1]: None
model.decoder.blank_id: 0
model.decoder.bos_id: 1
model.decoder.eos_id: 2
model.decoder.joint_dim: 640
model.decoder.klass: 'axlearn.audio.decoder_asr.TransducerDecoderModel'
model.decoder.lm_dim: 640
model.decoder.lm_proj.bias: True
model.decoder.lm_proj.klass: 'axlearn.common.layers.Linear'
model.decoder.lm_proj.param_partition_spec[0]: None
model.decoder.lm_proj.param_partition_spec[1]: None
model.decoder.prediction_network.emb_dim: 128
model.decoder.prediction_network.embedding.klass: 'axlearn.common.layers.Embedding'
model.decoder.prediction_network.embedding.param_init.init_by_param_name['.*weight$'].distribution: 'uniform'
model.decoder.prediction_network.embedding.param_init.init_by_param_name['.*weight$'].fan: None
model.decoder.prediction_network.embedding.param_init.init_by_param_name['.*weight$'].klass: 'axlearn.common.param_init.WeightInitializer'
model.decoder.prediction_network.embedding.param_init.init_by_param_name['.*weight$'].scale: 1.0
model.decoder.prediction_network.embedding.param_init.klass: 'axlearn.common.param_init.DefaultInitializer'
model.decoder.prediction_network.embedding.param_partition_spec[0]: None
model.decoder.prediction_network.embedding.param_partition_spec[1]: 'model'
model.decoder.prediction_network.klass: 'axlearn.audio.decoder_asr.RNNPredictionNetwork'
model.decoder.prediction_network.param_noise.klass: 'axlearn.common.layers.VariationalNoise'
model.decoder.prediction_network.param_noise.vn_std: 0.075
model.decoder.prediction_network.rnn_cell.input_proj.bias: True
model.decoder.prediction_network.rnn_cell.input_proj.klass: 'axlearn.common.layers.MultiLinear'
model.decoder.prediction_network.rnn_cell.input_proj.param_partition_spec[0]: None
model.decoder.prediction_network.rnn_cell.input_proj.param_partition_spec[1]: None
model.decoder.prediction_network.rnn_cell.input_proj.param_partition_spec[2]: 'model'
model.decoder.prediction_network.rnn_cell.klass: 'axlearn.common.rnn.LSTMCell'
model.decoder.prediction_network.rnn_cell.max_cell_value: 10.0
model.decoder.prediction_network.rnn_cell.output_proj: None
model.decoder.prediction_network.rnn_cell.param_init.init_by_param_name['.*weight$'].distribution: 'uniform'
model.decoder.prediction_network.rnn_cell.param_init.init_by_param_name['.*weight$'].fan: None
model.decoder.prediction_network.rnn_cell.param_init.init_by_param_name['.*weight$'].klass: 'axlearn.common.param_init.WeightInitializer'
model.decoder.prediction_network.rnn_cell.param_init.init_by_param_name['.*weight$'].scale: 0.1
model.decoder.prediction_network.rnn_cell.param_init.klass: 'axlearn.common.param_init.DefaultInitializer'
model.decoder.transducer.activation_fn: 'nn.tanh'
model.decoder.transducer.klass: 'axlearn.common.transducer.Transducer'
model.decoder.transducer.logits_to_log_probs.blank_logit_bias: 0
model.decoder.transducer.logits_to_log_probs.fn: 'axlearn.common.transducer.classic_logits_to_log_probs'
model.decoder.transducer.proj.bias: True
model.decoder.transducer.proj.klass: 'axlearn.common.layers.Linear'
model.decoder.transducer.proj.param_partition_spec[0]: None
model.decoder.transducer.proj.param_partition_spec[1]: None
model.decoder.vocab_size: 1024
model.dtype: 'jax.numpy.float32'
model.encoder.context.context.klass: 'axlearn.common.conformer.RepeatedConformerLayer'
model.encoder.context.context.layer.ff_end.activation: 'nn.silu'
model.encoder.context.context.layer.ff_end.dropout.klass: 'axlearn.common.layers.Dropout'
model.encoder.context.context.layer.ff_end.dropout.rate: 0.1
model.encoder.context.context.layer.ff_end.hidden_dim.fn: 'axlearn.common.attention.scale_fn'
model.encoder.context.context.layer.ff_end.hidden_dim.scale: 4
